,ID
0,8
1,29
2,40
3,100
4,119
5,120
6,132
7,190
8,192
9,197
10,208
11,276
12,324
13,393
14,528
15,582
16,597
17,613
18,635
19,648
20,686
21,785
22,797
23,818
24,888
25,1112
26,1115
27,1119
28,1149
29,1154
30,1157
31,1198
32,1216
33,1367
34,1408
35,1450
36,1502
37,1525
38,1552
39,1563
40,1633
41,1703
42,1779
43,1835
44,1874
45,1896
46,1929
47,2103
48,2121
49,2300
50,2306
51,2392
52,2432
53,2458
54,2466
55,2470
56,2477
57,2549
58,2553
59,2596
60,2651
61,2664
62,2676
63,2680
64,2731
65,2758
66,2798
67,2805
68,2903
69,2941
70,2945
71,2950
72,2966
73,3146
74,3389
75,3498
76,3500
77,3532
78,3646
79,3654
80,3696
81,3739
82,3865
83,3953
84,3993
85,4023
86,4043
87,4137
88,4142
89,4144
90,4165
91,4264
92,4289
93,4378
94,4392
95,4459
96,4580
97,4636
98,4682
99,4685
100,4702
101,4708
102,4850
103,4870
104,4890
105,5051
106,5088
107,5174
108,5177
109,5191
110,5230
111,5261
112,5307
113,5383
114,5443
115,5532
116,5585
117,5609
118,5673
119,5692
120,5702
121,5774
122,5845
123,5857
124,5869
125,5878
126,5942
127,5959
128,6135
129,6172
130,6225
131,6231
132,6270
133,6313
134,6369
135,6381
136,6392
137,6394
138,6423
139,6446
140,6451
141,6486
142,6567
143,6572
144,6580
145,6775
146,6791
147,6873
148,6913
149,7006
150,7017
151,7018
152,7054
153,7162
154,7256
155,7296
156,7446
157,7488
158,7490
159,7537
160,7565
161,7602
162,7616
163,7654
164,7696
165,7725
166,7830
167,7947
168,8058
169,8083
170,8097
171,8158
172,8208
173,8229
174,8274
175,8295
176,8307
177,8436
178,8438
179,8470
180,8489
181,8516
182,8523
183,8652
184,8738
185,8747
186,8842
187,8879
188,8880
189,8888
190,8967
191,9052
192,9180
193,9253
194,9312
195,9375
196,9393
197,9449
198,9564
199,9607
200,9728
