,date,N_elements,Rank,Score,Items,Price,Close
82,2021-08-23,2481,3435,66.4299,2,59.59,3319.25732421875
83,2021-08-23,2522,5768,55.7841,2,60.0,3319.25732421875
84,2021-08-23,2544,3435,66.4299,2,84.0,3319.25732421875
85,2021-08-23,2546,6436,54.763,2,69.42,3319.25732421875
86,2021-08-23,2634,7794,50.0555,2,59.99,3319.25732421875
87,2021-08-23,2636,5066,59.78,2,72.14,3319.25732421875
88,2021-08-23,2661,8687,47.8441,2,87.0,3319.25732421875
89,2021-08-23,2661,8687,47.8441,2,68.8,3319.25732421875
90,2021-08-23,2688,184,335.0533,2,71.69,3319.25732421875
91,2021-08-23,2762,4485,62.7399,2,65.0,3319.25732421875
92,2021-08-23,2762,4485,62.7399,2,56.99,3319.25732421875
93,2021-08-23,2774,6758,53.5401,2,58.99,3319.25732421875
94,2021-08-23,2790,2888,71.8474,2,69.27,3319.25732421875
95,2021-08-23,2834,7072,52.494,2,0.0,3319.25732421875
96,2021-08-23,2834,7072,52.494,2,60.0,3319.25732421875
97,2021-08-23,2906,7545,50.9701,2,0.0,3319.25732421875
98,2021-08-23,2913,7072,52.494,2,69.42,3319.25732421875
99,2021-08-23,2916,1080,115.4804,2,72.0,3319.25732421875
100,2021-08-23,2920,451,186.7855,2,65.0,3319.25732421875
101,2021-08-23,2932,7072,52.494,2,99.98,3319.25732421875
102,2021-08-23,3027,7545,50.9701,2,130.0,3319.25732421875
103,2021-08-23,3086,8687,47.8441,2,84.2,3319.25732421875
104,2021-08-23,3132,6758,53.5401,2,71.0,3319.25732421875
105,2021-08-23,3167,8909,47.3371,2,140.0,3319.25732421875
106,2021-08-23,3173,7545,50.9701,2,67.34,3319.25732421875
107,2021-08-23,3185,7794,50.0555,2,54.1,3319.25732421875
108,2021-08-23,3202,3807,63.5709,2,63.0,3319.25732421875
109,2021-08-23,3208,2161,81.8362,2,72.77,3319.25732421875
110,2021-08-23,3209,6032,55.5599,2,125.0,3319.25732421875
111,2021-08-23,3209,6032,55.5599,2,95.0,3319.25732421875
112,2021-08-23,3221,6436,54.763,2,69.69,3319.25732421875
113,2021-08-23,3327,5768,55.7841,2,76.98,3319.25732421875
114,2021-08-23,3327,5768,55.7841,2,55.0,3319.25732421875
115,2021-08-23,3329,4632,62.3671,2,64.99,3319.25732421875
116,2021-08-23,3344,7794,50.0555,2,69.0,3319.25732421875
117,2021-08-23,3387,5306,59.318,2,78.0,3319.25732421875
118,2021-08-23,3438,5582,56.851,2,115.0,3319.25732421875
119,2021-08-23,3453,5694,55.8448,2,55.25,3319.25732421875
120,2021-08-23,3457,7794,50.0555,2,150.0,3319.25732421875
121,2021-08-23,3497,9464,38.252,2,66.0,3319.25732421875
122,2021-08-23,3507,4485,62.7399,2,111.98,3319.25732421875
123,2021-08-23,3507,4485,62.7399,2,92.0,3319.25732421875
124,2021-08-23,3560,3256,67.3381,2,82.5,3319.25732421875
125,2021-08-23,3579,9464,38.252,2,67.0,3319.25732421875
126,2021-08-23,3583,8466,48.2867,2,67.0,3319.25732421875
127,2021-08-23,3621,9127,45.8101,2,67.47,3319.25732421875
128,2021-08-23,3621,9127,45.8101,2,58.0,3319.25732421875
129,2021-08-23,3621,9127,45.8101,2,56.0,3319.25732421875
130,2021-08-23,3705,9127,45.8101,2,105.0,3319.25732421875
131,2021-08-23,3731,1810,86.4193,2,100.0,3319.25732421875
132,2021-08-23,3737,7304,51.8542,2,69.99,3319.25732421875
133,2021-08-23,3770,9127,45.8101,2,89.89,3319.25732421875
134,2021-08-23,3802,6032,55.5599,2,67.95,3319.25732421875
135,2021-08-23,3822,5066,59.78,2,74.0,3319.25732421875
136,2021-08-23,3937,6758,53.5401,2,95.0,3319.25732421875
137,2021-08-23,3947,4988,60.2189,2,55.0,3319.25732421875
138,2021-08-23,3994,7304,51.8542,2,104.0,3319.25732421875
139,2021-08-23,3994,7304,51.8542,2,80.0,3319.25732421875
140,2021-08-23,4022,2212,81.3182,2,68.99,3319.25732421875
141,2021-08-23,4093,4005,63.4559,2,105.0,3319.25732421875
142,2021-08-23,4162,7072,52.494,2,69.0,3319.25732421875
143,2021-08-23,4187,7304,51.8542,2,78.0,3319.25732421875
144,2021-08-23,4187,7304,51.8542,2,64.99,3319.25732421875
145,2021-08-23,4198,4632,62.3671,2,67.8,3319.25732421875
146,2021-08-23,4198,4632,62.3671,2,62.9,3319.25732421875
147,2021-08-23,4198,4632,62.3671,2,60.0,3319.25732421875
148,2021-08-23,4242,4005,63.4559,2,69.42,3319.25732421875
149,2021-08-23,4271,6758,53.5401,2,94.95,3319.25732421875
150,2021-08-23,4274,3435,66.4299,2,72.69,3319.25732421875
151,2021-08-23,4410,3256,67.3381,2,75.0,3319.25732421875
152,2021-08-23,4414,5768,55.7841,2,67.9,3319.25732421875
153,2021-08-23,4454,3503,65.4884,2,55.0,3319.25732421875
154,2021-08-23,4486,698,148.5247,2,55.0,3319.25732421875
155,2021-08-23,4515,1688,89.3943,2,72.0,3319.25732421875
156,2021-08-23,4543,1810,86.4193,2,64.99,3319.25732421875
157,2021-08-23,4633,580,158.9375,2,64.9,3319.25732421875
158,2021-08-23,4636,5395,58.8718,2,69.69,3319.25732421875
159,2021-08-23,4643,4005,63.4559,2,67.0,3319.25732421875
160,2021-08-23,4744,5768,55.7841,2,66.5,3319.25732421875
161,2021-08-23,4744,5768,55.7841,2,61.66,3319.25732421875
162,2021-08-23,4773,1437,100.733,2,78.0,3319.25732421875
163,2021-08-23,4792,2464,77.9791,2,59.99,3319.25732421875
164,2021-08-23,4797,731,146.0171,2,59.59,3319.25732421875
165,2021-08-23,4855,2565,77.5395,2,95.0,3319.25732421875
166,2021-08-23,4930,4204,63.3422,2,63.11,3319.25732421875
167,2021-08-23,5037,2665,76.6857,2,87.5,3319.25732421875
168,2021-08-23,5087,7072,52.494,2,54.9,3319.25732421875
169,2021-08-23,5157,8687,47.8441,2,94.0,3319.25732421875
170,2021-08-23,5176,6920,52.6608,2,65.0,3319.25732421875
171,2021-08-23,5196,7072,52.494,2,67.0,3319.25732421875
172,2021-08-23,5201,4369,62.9346,2,72.99,3319.25732421875
173,2021-08-23,5210,4005,63.4559,2,53.0,3319.25732421875
174,2021-08-23,5243,4204,63.3422,2,66.9,3319.25732421875
175,2021-08-23,5266,7794,50.0555,2,59.0,3319.25732421875
176,2021-08-23,5272,2161,81.8362,2,77.14,3319.25732421875
177,2021-08-23,5343,3256,67.3381,2,55.0,3319.25732421875
178,2021-08-23,5371,9464,38.252,2,59.89,3319.25732421875
179,2021-08-23,5373,7794,50.0555,2,99.0,3319.25732421875
180,2021-08-23,5384,7794,50.0555,2,68.5,3319.25732421875
181,2021-08-23,5384,7794,50.0555,2,60.0,3319.25732421875
182,2021-08-23,5427,9464,38.252,2,80.0,3319.25732421875
183,2021-08-23,5434,6920,52.6608,2,68.0,3319.25732421875
184,2021-08-23,5455,4369,62.9346,2,88.0,3319.25732421875
185,2021-08-23,5465,2775,72.5205,2,65.0,3319.25732421875
186,2021-08-23,5473,4369,62.9346,2,270.0,3319.25732421875
187,2021-08-23,5482,8909,47.3371,2,59.75,3319.25732421875
188,2021-08-23,5517,5395,58.8718,2,64.98,3319.25732421875
189,2021-08-23,5532,1194,109.3152,2,69.0,3319.25732421875
190,2021-08-23,5566,6436,54.763,2,64.99,3319.25732421875
191,2021-08-23,5566,6436,54.763,2,55.0,3319.25732421875
192,2021-08-23,5592,9127,45.8101,2,56.0,3319.25732421875
193,2021-08-23,5635,6758,53.5401,2,65.0,3319.25732421875
194,2021-08-23,5659,5066,59.78,2,109.99,3319.25732421875
195,2021-08-23,5713,165,342.6114,2,75.0,3319.25732421875
196,2021-08-23,5730,1437,100.733,2,69.69,3319.25732421875
197,2021-08-23,5741,6920,52.6608,2,68.87,3319.25732421875
198,2021-08-23,5741,6920,52.6608,2,56.88,3319.25732421875
199,2021-08-23,5756,6032,55.5599,2,65.0,3319.25732421875
200,2021-08-23,5807,8687,47.8441,2,68.69,3319.25732421875
201,2021-08-23,5809,731,146.0171,2,57.0,3319.25732421875
202,2021-08-23,5868,2888,71.8474,2,65.0,3319.25732421875
203,2021-08-23,5874,1398,101.7571,2,275.0,3319.25732421875
204,2021-08-23,5886,8466,48.2867,2,53.0,3319.25732421875
205,2021-08-23,5893,6436,54.763,2,65.0,3319.25732421875
206,2021-08-23,5896,4988,60.2189,2,65.0,3319.25732421875
207,2021-08-23,5964,2565,77.5395,2,93.0,3319.25732421875
208,2021-08-23,5986,5066,59.78,2,66.66,3319.25732421875
209,2021-08-23,6010,2665,76.6857,2,85.85,3319.25732421875
210,2021-08-23,6025,9127,45.8101,2,71.99,3319.25732421875
211,2021-08-23,6085,1570,96.925,2,58.0,3319.25732421875
212,2021-08-23,6099,1051,117.4562,2,104.44,3319.25732421875
213,2021-08-23,6105,2565,77.5395,2,68.0,3319.25732421875
214,2021-08-23,6131,3720,63.7399,2,59.0,3319.25732421875
215,2021-08-23,6139,6920,52.6608,2,73.69,3319.25732421875
216,2021-08-23,6168,7072,52.494,2,65.0,3319.25732421875
217,2021-08-23,6293,6280,54.8952,2,69.0,3319.25732421875
218,2021-08-23,6322,8687,47.8441,2,60.0,3319.25732421875
219,2021-08-23,6332,616,152.3167,2,110.0,3319.25732421875
220,2021-08-23,6405,4332,63.118,2,69.0,3319.25732421875
221,2021-08-23,6443,2161,81.8362,2,70.0,3319.25732421875
222,2021-08-23,6448,6280,54.8952,2,69.96,3319.25732421875
223,2021-08-23,6448,6280,54.8952,2,59.99,3319.25732421875
