,ID
0,9
1,70
2,100
3,126
4,142
5,176
6,244
7,290
8,291
9,339
10,376
11,395
12,410
13,465
14,515
15,688
16,712
17,794
18,836
19,955
20,959
21,966
22,1004
23,1009
24,1057
25,1083
26,1105
27,1118
28,1173
29,1210
30,1217
31,1221
32,1231
33,1245
34,1253
35,1311
36,1331
37,1395
38,1487
39,1546
40,1583
41,1614
42,1623
43,1658
44,1706
45,1776
46,1792
47,1802
48,1818
49,1870
50,1879
51,1890
52,1939
53,1957
54,2038
55,2069
56,2191
57,2242
58,2272
59,2274
60,2282
61,2286
62,2297
63,2298
64,2362
65,2377
66,2393
67,2437
68,2479
69,2494
70,2519
71,2590
72,2616
73,2655
74,2674
75,2767
76,2790
77,2815
78,2830
79,2839
80,2843
81,2869
82,2922
83,2948
84,2950
85,2951
86,2955
87,3016
88,3051
89,3140
90,3186
91,3214
92,3306
93,3311
94,3320
95,3357
96,3358
97,3424
98,3434
99,3438
100,3446
101,3477
102,3533
103,3541
104,3567
105,3590
106,3627
107,3629
108,3647
109,3648
110,3653
111,3712
112,3721
113,3731
114,3757
115,3796
116,3806
117,3811
118,3828
119,3962
120,4031
121,4046
122,4052
123,4057
124,4068
125,4099
126,4104
127,4112
128,4135
129,4171
130,4174
131,4175
132,4208
133,4251
134,4256
135,4262
136,4287
137,4319
138,4336
139,4460
140,4477
141,4529
142,4570
143,4647
144,4649
145,4663
146,4664
147,4679
148,4726
149,4751
150,4770
151,4773
152,4780
153,4781
154,4801
155,4808
156,4875
157,4896
158,4930
159,4963
160,4986
161,5058
162,5078
163,5096
164,5097
165,5120
166,5143
167,5212
168,5228
169,5244
170,5265
171,5272
172,5343
173,5345
174,5408
175,5469
176,5475
177,5508
178,5509
179,5524
180,5526
181,5539
182,5556
183,5606
184,5612
185,5624
186,5715
187,5740
188,5746
189,5792
190,5849
191,5876
192,5986
193,6167
194,6174
195,6220
196,6222
197,6234
198,6286
199,6319
200,6325
201,6337
202,6405
203,6415
204,6422
205,6500
206,6510
207,6512
208,6523
209,6573
210,6587
211,6641
212,6713
213,6728
214,6803
215,6816
216,6850
217,6883
218,6901
219,6931
220,7082
221,7109
222,7133
223,7140
224,7151
225,7204
226,7221
227,7270
228,7301
229,7339
230,7358
231,7438
232,7457
233,7528
234,7693
235,7762
236,7769
237,7818
238,7825
239,7835
240,7861
241,7897
242,7910
243,7914
244,7925
245,7941
246,8041
247,8131
248,8152
249,8169
250,8174
251,8266
252,8277
253,8299
254,8301
255,8345
256,8364
257,8367
258,8372
259,8431
260,8446
261,8469
262,8507
263,8603
264,8659
265,8731
266,8737
267,8788
268,8803
269,8819
270,8851
271,8883
272,8926
273,8956
274,8975
275,9029
276,9045
277,9053
278,9054
279,9078
280,9108
281,9145
282,9152
283,9198
284,9239
285,9241
286,9293
287,9331
288,9401
289,9445
290,9448
291,9464
292,9526
293,9562
294,9598
295,9623
296,9709
297,9763
298,9767
299,9789
300,9790
