,Name_collection,N_elements,Rank,Score,Items,Price
129,doodles-official,1992,4294,94.1179,5,33.33
130,doodles-official,1998,2207,138.547,6,35.99999999999999
131,doodles-official,2004,1463,156.1062,6,26.0
132,doodles-official,2047,3378,126.0715,5,39.99999999999999
133,doodles-official,2088,7600,70.027,5,27.95
134,doodles-official,2100,402,277.6875,6,103.0
135,doodles-official,2146,284,564.8794,3,81.0
136,doodles-official,2151,3536,113.1037,5,39.95000000000001
137,doodles-official,2159,3836,101.074,5,39.0
139,doodles-official,2196,1946,143.3778,6,69.42
140,doodles-official,2217,3967,98.1647,5,32.69
141,doodles-official,2243,8914,66.389,5,25.0
142,doodles-official,2263,2081,140.0661,6,29.25
143,doodles-official,2277,9466,65.4498,5,35.00000000000001
144,doodles-official,2284,9546,65.2811,5,24.800000000000004
145,doodles-official,2308,6347,74.736,5,50.0
146,doodles-official,2358,5534,83.9794,5,26.5
147,doodles-official,2359,7980,68.3742,5,27.99
148,doodles-official,2373,3803,102.2174,5,31.000000000000004
149,doodles-official,2401,52,1471.8654,3,169.69
150,doodles-official,2407,7810,69.0973,5,26.0
151,doodles-official,2457,3364,127.929,5,50.0
152,doodles-official,2458,353,526.6251,3,99.0
153,doodles-official,2460,3012,131.3372,6,25.5
154,doodles-official,2473,2983,131.4531,5,28.69
155,doodles-official,2505,140,781.5589,4,64.99999999999999
156,doodles-official,2515,3060,131.0039,5,39.99999999999999
157,doodles-official,2535,4082,96.569,5,35.00000000000001
158,doodles-official,2536,4784,89.0029,5,30.0
159,doodles-official,2539,1633,152.1883,5,50.0
160,doodles-official,2551,2331,137.2169,6,39.88
161,doodles-official,2556,8696,66.7394,5,39.0
162,doodles-official,2559,3265,129.6793,6,29.42
163,doodles-official,2560,6,17808.8766,5,299.0
164,doodles-official,2561,516,222.8754,6,59.000000000000014
165,doodles-official,2570,5057,87.0567,5,28.000000000000004
166,doodles-official,2571,8937,66.3434,5,50.0
167,doodles-official,2583,4868,88.2821,5,69.69000000000001
168,doodles-official,2584,3694,105.8975,5,555.55
169,doodles-official,2586,7074,71.695,5,42.69
170,doodles-official,2594,791,198.4917,6,39.0
171,doodles-official,2609,3336,128.7166,5,36.9
172,doodles-official,2610,2506,135.2247,6,34.9
173,doodles-official,2643,3429,120.255,5,50.0
174,doodles-official,2666,5740,81.6683,5,24.95
175,doodles-official,2682,2228,138.264,6,35.00000000000001
176,doodles-official,2683,2787,132.6526,6,30.0
178,doodles-official,2758,111,821.4316,4,84.26899999999998
179,doodles-official,2780,3997,97.8099,5,27.0
180,doodles-official,2787,3938,98.7127,5,50.0
181,doodles-official,2792,6178,76.6231,5,148.99999999999997
182,doodles-official,2794,6364,74.6082,5,39.0
183,doodles-official,2795,3729,104.5181,5,34.49999999999999
184,doodles-official,2815,8927,66.3607,5,64.99999999999999
185,doodles-official,2825,2638,133.8562,6,29.9
186,doodles-official,2832,5257,85.9473,5,24.800000000000004
187,doodles-official,2836,4873,88.2096,5,25.90000000000001
188,doodles-official,2845,4734,89.5133,5,33.0
189,doodles-official,2857,8392,67.2937,5,29.15000000000001
190,doodles-official,2864,4679,89.998,5,32.0
191,doodles-official,2873,400,282.622,6,74.99999999999999
192,doodles-official,2875,677,206.2021,6,30.0
193,doodles-official,2878,6907,72.2453,5,41.0
194,doodles-official,2879,676,206.2261,6,49.68999999999999
195,doodles-official,2912,3,25309.3151,5,2950.000000000001
196,doodles-official,2946,276,570.865,3,100.0
197,doodles-official,2996,1132,170.8338,5,68.99999999999999
198,doodles-official,3000,163,768.6881,4,58.0
199,doodles-official,3023,7125,71.5586,5,30.0
200,doodles-official,3057,9902,64.1747,5,35.00000000000001
201,doodles-official,3064,3564,111.5391,5,29.0
202,doodles-official,3072,141,781.4686,4,149.99999999999997
203,doodles-official,3084,299,556.897,3,69.69000000000001
204,doodles-official,3097,179,762.7797,4,88.79999999999998
205,doodles-official,3108,1298,161.0594,6,39.96000000000001
206,doodles-official,3116,2477,135.5249,6,25.0
207,doodles-official,3130,1206,165.6531,5,64.41999999999999
208,doodles-official,3132,1142,170.1558,5,40.69
209,doodles-official,3157,311,545.6488,3,57.68999999999999
210,doodles-official,3183,604,213.579,6,29.69
211,doodles-official,3217,2001,141.7891,5,42.00000000000001
212,doodles-official,3220,2025,141.2829,5,36.99999999999999
213,doodles-official,3221,336,536.4323,3,55.00000000000001
214,doodles-official,3242,1010,191.4787,6,39.42
215,doodles-official,3256,1259,162.5332,5,128.99999999999997
216,doodles-official,3258,2643,133.8365,6,39.9
217,doodles-official,3278,1766,149.0259,6,68.99999999999999
218,doodles-official,3279,3928,98.9061,5,36.99999999999999
219,doodles-official,3290,3637,108.0615,5,30.0
220,doodles-official,3297,9898,64.1851,5,29.0
221,doodles-official,3318,3767,103.2412,5,31.599999999999994
222,doodles-official,3319,5273,85.8703,5,59.99999999999999
223,doodles-official,3334,9502,65.3862,5,29.95000000000001
224,doodles-official,3344,60,1409.6517,5,169.69
225,doodles-official,3357,1585,153.0929,6,42.69
226,doodles-official,3398,1056,180.7582,5,39.99999999999999
227,doodles-official,3402,9654,65.0435,5,33.879999999999995
228,doodles-official,3404,9238,65.8759,5,500.00000000000006
229,doodles-official,3407,959,193.1428,6,29.0
231,doodles-official,3426,2492,135.3742,6,25.0
232,doodles-official,3431,7888,68.7382,5,36.77
233,doodles-official,3478,9677,65.012,5,30.0
234,doodles-official,3484,6753,72.7233,5,32.0
235,doodles-official,3493,5022,87.2264,5,28.55
236,doodles-official,3500,6527,73.7249,5,39.99999999999999
237,doodles-official,3502,923,193.8426,6,31.000000000000004
238,doodles-official,3507,9355,65.6707,5,35.7
239,doodles-official,3516,6286,75.289,5,39.76999999999999
240,doodles-official,3538,1290,161.4779,5,69.96
241,doodles-official,3539,6884,72.3398,5,88.0
242,doodles-official,3541,1772,148.9195,5,44.99999999999999
243,doodles-official,3598,4140,96.049,5,88.79999999999998
244,doodles-official,3605,3201,130.1272,6,24.89999999999999
245,doodles-official,3611,5957,79.2436,5,31.000000000000004
246,doodles-official,3613,199,740.3908,4,665.9999999999999
247,doodles-official,3627,4135,96.084,5,33.0
248,doodles-official,3637,3332,128.7879,5,35.99999999999999
249,doodles-official,3646,8099,67.9799,5,28.15
250,doodles-official,3656,6162,76.9239,5,30.0
251,doodles-official,3687,5527,84.0158,5,31.000000000000004
252,doodles-official,3692,9389,65.6126,5,35.00000000000001
254,doodles-official,3706,6126,77.3092,5,26.49
255,doodles-official,3710,471,235.6854,6,69.42
256,doodles-official,3737,9334,65.7201,5,25.1
257,doodles-official,3767,624,212.2448,6,50.0
258,doodles-official,3791,241,694.3398,3,199.00000000000003
