,ID,Price,Symbol
0,9,35.69,ETH
1,10,39.99999999999999,ETH
2,13,31.999999999999996,ETH
3,22,29.1,ETH
4,30,0.0002999999999999999,WETH
5,32,42.06899999999999,ETH
6,39,77.0,ETH
7,47,222.22200000000004,ETH
8,48,39.0,ETH
9,66,29.660000000000004,ETH
10,92,41.0,ETH
11,101,39.99000000000001,ETH
12,140,50.0,ETH
13,141,35.99999999999999,ETH
14,189,139.69,ETH
15,214,25.99,ETH
16,239,63.00000000000001,ETH
17,250,35.00000000000001,ETH
18,257,47.0,ETH
19,269,33.69,ETH
20,272,268.99999999999994,ETH
21,280,50.0,ETH
22,311,42.6,ETH
23,343,29.990000000000006,ETH
24,349,24.0,ETH
25,351,24.99,ETH
26,357,59.99000000000001,ETH
27,363,108.12299999999999,ETH
28,370,29.9,ETH
29,390,29.999999999999996,ETH
30,437,16.5,WETH
31,441,24.555000000000003,ETH
32,466,28.679999999999996,ETH
33,478,26.989999999999995,ETH
34,487,44.99999999999999,ETH
35,491,0.06899999999999999,WETH
36,518,38.88,ETH
37,548,29.999999999999996,ETH
38,553,45.55500000000001,ETH
39,554,25.0,WETH
40,565,99.99999999999999,ETH
41,590,29.0,ETH
42,595,31.500000000000004,ETH
43,600,35.00000000000001,ETH
44,613,29.0,ETH
45,631,26.999999999999996,ETH
46,639,39.0,ETH
47,700,55.00000000000001,ETH
48,713,31.000000000000004,ETH
49,754,22.999999999999996,WETH
50,756,27.71999999999999,ETH
51,786,31.500000000000004,ETH
52,793,37.8,ETH
53,869,28.799999999999997,ETH
54,946,24.89999999999999,ETH
55,966,33.0,ETH
56,972,36.49999999999999,ETH
57,982,36.99999999999999,ETH
58,1024,34.0,ETH
59,1038,26.999999999999996,ETH
60,1046,37.76999999999999,ETH
61,1063,29.999999999999996,ETH
62,1074,99.99999999999999,ETH
63,1095,42.06899999999999,ETH
64,1101,57.0,ETH
65,1107,29.0,ETH
66,1115,99.0,ETH
67,1124,21.000000000000004,WETH
68,1184,33.33,ETH
