ID,Price,Symbol
6,669.0,ETH
8,299.99999999999994,ETH
9,199.99999999999997,ETH
17,474.00000000000006,ETH
26,420.68999999999994,ETH
29,268.99999999999994,ETH
40,888.0,ETH
70,170.0,ETH
100,60690.0,APE
119,299.0,ETH
120,266.0,ETH
126,159.98,ETH
132,250.00000000000003,ETH
142,175.00000000000003,ETH
176,179.99999999999997,ETH
190,1599.9999999999998,ETH
192,6969.000000000002,ETH
197,1999.9999999999998,ETH
208,289.0,ETH
211,449.99999999999994,ETH
237,420.0,ETH
244,199.00000000000003,ETH
256,652.0,ETH
276,299.0,ETH
290,137.99999999999997,ETH
291,149.69,ETH
324,260.0,ETH
339,182.0,ETH
358,369.0,ETH
376,167.00000000000003,ETH
393,250.00000000000003,ETH
395,144.0,ETH
406,222.0,ETH
410,176.0,ETH
465,149.69689999999997,ETH
477,222.0,ETH
489,469.0,ETH
515,175.00000000000003,ETH
528,1333.0,ETH
550,369.0,ETH
567,222.0,ETH
582,250.00000000000003,ETH
597,268.99999999999994,ETH
602,500.00000000000006,ETH
613,239.0,ETH
635,299.99999999999994,ETH
648,18880.000000000004,ETH
652,500.00000000000006,ETH
686,299.99999999999994,ETH
688,199.99000000000004,ETH
695,420.68999999999994,ETH
712,142.69,ETH
751,550.0000000000001,ETH
755,210.0,ETH
785,280.00000000000006,ETH
794,159.49999999999997,ETH
797,235.00000000000003,ETH
799,420.68999999999994,ETH
818,818.0,ETH
836,158.0,ETH
888,888.0,ETH
949,500.00000000000006,ETH
955,149.99999999999997,ETH
959,175.00000000000003,ETH
966,195.0,ETH
1004,140.00000000000003,ETH
1009,199.99999999999997,ETH
1015,311.0,ETH
1057,184.99999999999997,ETH
1063,665.9999999999999,ETH
1071,224.99999999999997,ETH
1072,332.99999999999994,ETH
1083,155.00000000000003,ETH
1105,199.00000000000003,ETH
1112,299.0,ETH
1115,250.00000000000003,ETH
1118,159.00000000000003,ETH
1119,700.0000000000001,ETH
1124,399.99999999999994,ETH
1149,777.7699999999998,ETH
1154,294.00000000000006,ETH
1157,248.99999999999994,ETH
1159,500.68999999999994,ETH
1173,143.00000000000003,ETH
1174,222.0,ETH
1198,248.99999999999994,ETH
1207,218.0,ETH
1210,188.0,ETH
1216,3400.0,ETH
1217,147.99999999999997,ETH
1221,147.99999999999997,ETH
1231,195.0,ETH
1245,198.90000000000006,ETH
1253,199.68999999999997,ETH
1280,222.0,ETH
1281,222.20000000000005,ETH
1298,350.00000000000006,ETH
1311,177.77699999999996,ETH
1331,199.00000000000003,ETH
1332,332.99999999999994,ETH
1341,332.99999999999994,ETH
1367,299.99999999999994,ETH
1395,141.49999999999997,ETH
1408,288.0,ETH
1450,240.69,ETH
1455,332.99999999999994,ETH
1459,420.68999999999994,ETH
1487,145.99999999999997,ETH
1502,239.0,ETH
1525,229.99999999999997,ETH
1528,449.99999999999994,ETH
1546,199.99999999999997,ETH
1552,15001.000000000004,ETH
1562,475.0000000000001,ETH
1563,295.0000000000001,ETH
1583,133.0,ETH
1584,220.0,ETH
1614,199.98,ETH
1623,148.99999999999997,ETH
1633,250.00000000000003,ETH
1658,139.69690000000003,ETH
1703,235.00000000000003,ETH
1706,166.00000000000003,ETH
1717,222.0,ETH
1725,369.4206899999999,ETH
1776,148.87999999999997,ETH
1779,269.6969,ETH
1792,198.00000000000003,ETH
1802,199.99999999999997,ETH
1818,199.00000000000003,ETH
1835,250.00000000000003,ETH
1844,222.0,ETH
1859,50.0,WETH
1870,179.99999999999997,ETH
1874,250.00000000000003,ETH
1879,169.0,ETH
1890,183.99999999999997,ETH
1896,299.99999999999994,ETH
1913,380.00000000000006,ETH
1929,888.0,ETH
1939,160.0,ETH
1957,184.99999999999997,ETH
1991,350.00000000000006,ETH
2020,500.00000000000006,ETH
2031,350.00000000000006,ETH
2038,169.98999999999998,ETH
2069,199.99999999999997,ETH
2093,569.69,ETH
2103,250.00000000000003,ETH
2106,500.00000000000006,ETH
2121,2121.0,ETH
2139,420.0,ETH
2152,665.9999999999999,ETH
2167,500.68999999999994,ETH
2181,332.99999999999994,ETH
2191,189.0,ETH
2242,179.99999999999997,ETH
2272,170.0,ETH
2274,199.00000000000003,ETH
2280,554.9999999999999,ETH
2282,169.69,ETH
2286,199.00000000000003,ETH
2297,155.00000000000003,ETH
2298,184.99999999999997,ETH
2300,301.0,ETH
2306,799.0000000000001,ETH
2353,500.00000000000006,ETH
2361,399.99999999999994,ETH
2362,184.99999999999997,ETH
2377,199.00000000000003,ETH
2392,238.0,ETH
2393,133.99999999999997,ETH
2415,484.99999999999994,ETH
2432,888.0,ETH
2437,149.5,ETH
2458,228.00000000000003,ETH
2466,250.00000000000003,ETH
2470,290.69,ETH
2477,288.0,ETH
2479,134.89999999999998,ETH
2494,199.99999999999997,ETH
2507,499.0,ETH
2519,190.00000000000003,ETH
2535,674.9999999999999,ETH
2544,500.00000000000006,ETH
2549,888.0,ETH
2553,260.0,ETH
2590,137.0,ETH
2596,749.9999999999999,ETH
2616,199.99999999999997,ETH
2651,2499.9999999999995,ETH
2655,127.99999999999997,ETH
2661,500.00000000000006,ETH
2663,665.9999999999999,ETH
2664,239.0,ETH
2674,173.88,ETH
2676,888.0,ETH
2680,250.00000000000003,ETH
2715,337.75000000000006,ETH
2731,268.99999999999994,ETH
2758,888.0,ETH
2767,199.00000000000003,ETH
2781,210.0,ETH
2790,189.0,ETH
2798,250.00000000000003,ETH
